time,Respiration Rate
0,19.8
1,19.8
2,20.0
3,20.1
4,20.2
5,20.3
6,20.5
7,20.9
8,21.2
9,21.7
10,22.1
11,22.5
12,22.6
13,22.6
14,22.6
15,22.6
16,22.6
17,22.7
18,22.8
19,23.0
20,23.3
21,23.6
22,24.2
23,24.7
24,25.2
25,25.7
26,26.1
27,26.1
28,26.2
29,26.2
30,26.2
31,26.1
32,26.0
33,25.9
34,25.9
35,25.8
36,25.5
37,25.4
38,25.2
39,25.1
40,25.1
41,25.0
42,24.9
43,24.8
44,24.7
45,24.6
46,24.6
47,24.5
48,24.4
49,24.3
50,24.3
51,24.0
52,23.7
53,23.4
54,23.1
55,22.6
56,22.2
57,21.8
58,21.5
59,21.0
60,20.4
61,19.8
62,19.4
63,18.7
64,17.9
65,17.2
66,16.7
67,16.6
68,16.5
69,16.4
70,16.4
71,16.4
72,16.0
73,15.8
74,15.5
75,15.3
76,15.2
77,15.1
78,14.9
79,14.7
80,14.5
81,14.3
82,14.2
83,14.3
84,14.4
85,14.6
86,14.8
87,15.0
88,15.3
89,15.8
90,16.1
91,16.8
92,17.4
93,17.9
94,18.1
95,18.2
96,18.2
97,18.5
98,18.8
99,19.0
100,19.1
101,19.2
102,19.2
103,19.3
104,19.1
105,18.9
106,18.8
107,18.9
108,19.1
109,19.2
110,19.3
111,18.9
112,18.6
113,18.4
114,18.3
115,18.4
116,18.5
117,18.5
118,18.4
119,18.3
120,18.3
121,18.3
122,18.3
123,18.3
124,18.3
125,18.2
126,18.2
127,18.7
128,19.0
129,19.3
130,19.6
131,19.8
132,19.9
133,19.9
134,19.9
135,19.9
136,19.7
137,19.5
138,19.4
139,19.4
140,19.4
141,19.4
142,19.7
143,19.9
144,20.3
145,20.7
146,21.2
147,21.8
148,22.3
149,22.7
150,23.0
151,23.7
152,24.2
153,24.6
154,24.7
155,24.7
156,25.0
157,25.3
158,25.8
159,26.2
160,26.5
161,26.8
162,27.0
163,27.1
164,27.1
165,27.1
166,27.0
167,26.9
168,26.9
169,26.8
170,26.8
171,26.6
172,26.4
173,26.3
174,26.2
175,26.0
176,25.8
177,25.6
178,25.5
179,25.0
180,24.3
181,23.7
182,23.2
183,21.8
184,20.6
185,19.8
186,19.3
187,18.8
188,18.5
189,18.4
190,18.4
191,18.4
192,18.4
193,18.3
194,18.3
195,18.2
196,18.1
