time,Respiration Rate
0,11.3
1,11.3
2,11.3
3,11.1
4,11.0
5,10.8
6,10.8
7,10.8
8,10.9
9,11.0
10,11.0
11,11.3
12,11.5
13,11.7
14,12.1
15,12.3
16,12.5
17,12.8
18,13.0
19,13.3
20,13.6
21,13.9
22,14.1
23,14.5
24,14.7
25,15.0
26,15.3
27,15.6
28,15.9
29,16.1
30,16.2
31,16.2
32,16.0
33,15.9
34,15.9
35,15.9
36,15.9
37,15.9
38,15.9
39,15.9
40,15.9
41,15.8
42,15.7
43,15.6
44,15.6
45,15.5
46,15.3
47,15.2
48,15.2
49,15.3
50,15.3
51,15.5
52,15.6
53,15.7
54,15.8
55,15.7
56,15.6
57,15.6
58,15.8
59,16.0
60,16.2
61,16.4
62,16.7
63,16.9
64,17.2
65,17.3
66,17.5
67,17.5
68,17.5
69,17.5
70,17.4
71,17.2
72,17.0
73,17.0
74,17.1
75,17.1
76,17.5
77,17.8
78,18.3
79,19.0
80,19.8
81,20.4
82,21.1
83,21.8
84,22.4
85,22.6
86,22.8
87,23.2
88,23.4
89,23.7
90,23.7
91,23.7
92,23.8
93,23.7
94,23.6
95,23.6
96,23.6
97,23.8
98,24.0
99,24.3
100,24.3
101,24.1
102,24.0
103,23.7
104,23.3
105,23.0
106,22.4
107,21.6
108,21.0
109,20.8
110,20.7
111,20.6
112,20.8
113,21.0
114,21.0
115,21.1
116,21.2
117,21.3
118,21.4
119,21.5
120,21.5
121,21.6
122,21.5
123,21.4
124,21.4
125,21.3
126,21.2
127,21.0
128,20.9
129,20.8
130,20.8
131,20.8
132,20.8
133,20.8
134,20.8
135,20.8
136,20.8
137,20.7
138,20.6
139,20.5
140,20.6
141,20.6
142,20.6
143,20.6
144,20.6
145,20.6
146,20.6
147,20.6
148,20.5
149,20.5
150,20.4
151,20.3
152,20.2
153,20.1
154,20.0
155,19.7
156,19.6
157,19.5
158,19.5
159,19.4
160,19.3
161,19.2
162,19.1
163,19.0
164,18.8
165,18.7
166,18.5
167,18.7
168,18.8
169,19.0
170,19.0
171,19.0
172,18.9
173,18.8
174,18.9
175,19.0
176,19.1
177,19.3
178,19.5
179,19.6
180,19.7
181,19.8
182,19.7
183,19.7
184,19.6
185,19.6
186,19.6
187,19.5
188,19.5
189,19.5
190,19.4
191,19.2
192,19.2
193,19.1
194,19.0
195,18.7
196,18.1
197,17.7
198,17.5
199,17.3
200,17.2
201,17.2
202,17.8
203,18.3
204,18.7
205,18.8
206,18.9
207,19.1
208,19.4
209,19.6
210,20.2
211,20.6
212,21.2
213,21.8
214,22.4
215,22.9
216,23.4
217,23.8
218,24.1
219,24.2
220,24.3
221,24.3
222,24.2
223,24.1
224,23.9
225,23.8
226,23.7
227,23.3
228,22.8
229,22.3
230,22.2
231,22.2
232,22.1
233,21.7
234,21.4
235,21.2
236,20.8
237,20.5
238,20.3
239,20.8
240,20.8
241,21.1
242,21.7
243,22.2
244,23.0
245,23.7
246,24.3
247,24.4
248,24.5
249,24.7
250,24.9
251,25.1
252,25.3
253,25.4
254,25.5
255,25.6
256,25.7
257,25.7
258,25.7
259,25.7
260,25.7
261,25.7
262,25.7
263,25.7
264,25.6
265,25.6
266,25.6
267,25.6
268,25.6
269,25.6
270,24.9
271,24.4
272,23.9
273,23.6
274,23.3
275,23.1
276,22.9
277,22.7
278,22.6
279,22.2
280,21.7
281,21.3
282,21.0
283,20.5
284,20.1
285,19.7
286,19.5
287,19.2
288,19.1
289,18.9
290,18.5
291,18.3
292,18.0
293,17.8
294,17.7
295,17.6
296,17.5
