time,Respiration Rate
0,17.9
1,18.4
2,18.8
3,19.3
4,19.8
5,19.8
6,20.4
7,21.0
8,21.4
9,22.0
10,22.5
11,22.9
12,23.2
13,23.5
14,23.7
15,23.9
16,23.9
17,23.9
18,24.1
19,24.2
20,24.3
21,24.4
22,24.4
23,24.5
24,24.5
25,24.5
26,24.5
27,24.4
28,24.5
29,24.5
30,24.5
31,24.5
32,24.6
33,24.6
34,24.6
35,24.6
36,24.5
37,24.5
38,24.4
39,24.3
40,24.2
41,24.1
42,24.0
43,23.8
44,23.6
45,23.4
46,23.2
47,23.1
48,23.0
49,22.9
50,22.7
51,22.4
52,22.2
53,21.9
54,21.5
55,21.2
56,20.9
57,20.6
58,20.3
59,20.0
60,20.0
61,20.1
62,20.1
63,20.2
64,20.2
65,20.2
66,20.2
67,20.2
68,20.0
69,19.9
70,19.8
71,19.8
72,19.7
73,19.7
74,19.6
75,19.5
76,19.3
77,19.2
78,19.1
79,18.8
80,18.5
81,18.3
82,18.1
83,17.9
84,17.8
85,17.4
86,17.1
87,16.9
88,16.8
89,16.9
90,17.0
91,17.0
92,17.1
93,17.1
94,17.0
95,16.8
96,16.8
97,16.7
98,16.6
99,16.6
100,16.6
101,16.6
102,16.5
103,16.4
104,16.4
105,16.4
106,16.5
107,16.6
108,16.6
109,16.7
110,16.7
111,16.8
112,16.8
113,16.8
114,16.8
115,16.8
116,16.7
117,16.8
118,16.8
119,16.9
120,17.0
121,17.1
122,17.0
123,17.0
124,17.0
125,17.1
126,17.1
127,17.1
128,17.2
129,17.2
130,17.2
131,17.2
132,17.2
133,17.2
134,17.1
135,17.1
136,17.0
137,17.0
138,16.9
139,16.8
140,16.7
141,16.7
142,16.3
143,16.1
144,15.9
145,15.7
146,15.4
147,15.2
148,15.1
149,14.9
150,14.8
151,14.7
152,14.2
153,13.8
154,13.5
155,13.4
156,13.3
157,13.3
158,13.3
159,13.4
160,13.6
161,13.7
162,13.9
163,14.2
164,14.4
165,14.9
166,15.6
167,16.1
168,16.6
169,16.7
170,16.5
171,16.3
172,16.5
173,17.0
174,17.3
175,17.9
176,18.3
177,18.6
178,18.9
179,19.1
180,19.3
181,19.4
182,19.4
183,19.5
184,19.6
185,19.7
186,19.7
187,19.8
188,19.8
189,19.7
190,19.7
191,19.6
192,19.7
193,19.8
194,19.8
195,19.9
196,19.7
197,19.6
198,19.6
199,19.6
200,19.7
201,19.8
202,20.3
203,20.6
204,20.9
205,21.0
206,21.1
207,21.2
208,21.3
209,21.2
210,21.1
211,21.1
212,21.2
213,21.2
214,21.4
215,21.6
216,21.7
217,21.8
218,21.8
219,21.7
220,21.8
221,21.9
222,21.9
223,21.9
