,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
0,1,all,False,ol,25718,0.1479558759569401,8.425809891773998e-126,1.7908693801062217,1.727026492377823,0.9973790202372158,1.8666666746139529,0.0,3.3333332538604736,0.359851598739624,0.7517678141593933,0.0,0.0,3.0508391857147217
1,1,all,False,nl,34436,0.19799678968667472,2.030042536571186e-301,1.1324295269501603,0.8154508995928822,0.8790415309391807,0.6666666865348816,0.0,3.3333332538604736,0.21538716554641724,0.598192036151886,0.0,0.0,2.814393997192383
2,1,all,False,ul,22224,0.14449053643305665,5.727508215370088e-104,0.46640781879146165,0.10302075976572926,0.3443855228931474,0.0,0.0,2.0,0.07764040678739548,0.3671983480453491,0.0,0.0,2.6027166843414307
3,1,all,False,all,82378,0.23889400155359064,0.0,1.2633431357677916,0.9078402956418814,1.0263469811699752,0.5333333611488342,0.0,3.3333332538604736,0.22332680225372314,0.6115298271179199,0.0,0.0,3.0508391857147217
4,1,all,True,ol,5339,0.6969437334811566,0.0,0.7452678430857019,1.8384591621737687,1.0089892517043262,2.133333444595337,0.0,3.3333332538604736,1.6633952856063843,0.6682802438735962,1.9018539190292358,0.0,3.0508391857147217
5,1,all,True,nl,6441,0.8133311124978404,0.0,0.5996641036074194,0.8025047994318392,0.9659921175659046,0.13333334028720856,0.0,3.3333332538604736,0.9420077204704285,0.9414751529693604,1.4736378192901611,0.0,2.814393997192383
6,1,all,True,ul,4722,0.8664534394775893,0.0,0.28333371195189744,0.06857263968530877,0.27629303923887355,0.0,0.0,2.0,0.13579174876213074,0.4775792956352234,0.0,0.0,2.3194611072540283
7,1,all,True,all,16502,0.8457339778283434,0.0,0.5856858564046946,0.9276613067858596,1.0959626087616414,0.03333333507180214,0.0,3.3333332538604736,0.9447064995765686,0.9539785385131836,0.4114137887954712,0.0,3.0508391857147217
8,5,all,False,ol,25718,0.21947658579751503,4.697869810263509e-278,1.6534921168417755,1.727026492377823,0.9973790202372158,1.8666666746139529,0.0,3.3333332538604736,0.5613294839859009,0.8733779191970825,0.0,0.0,2.6366817951202393
9,5,all,False,nl,34436,0.27340490624625136,0.0,1.08681961558735,0.8154508995928822,0.8790415309391807,0.6666666865348816,0.0,3.3333332538604736,0.2986319661140442,0.6865646839141846,0.0,0.0,2.496098041534424
10,5,all,False,ul,22224,0.1842681975444826,5.879345093128151e-169,0.46406633661648833,0.10302075976572926,0.3443855228931474,0.0,0.0,2.0,0.08210177719593048,0.38023310899734497,0.0,0.0,2.3979671001434326
11,5,all,False,all,82378,0.3409523076638945,0.0,1.1855008722406113,0.9078402956418814,1.0263469811699752,0.5333333611488342,0.0,3.3333332538604736,0.32222914695739746,0.7126177549362183,0.0,0.0,2.6366817951202393
12,5,all,True,ol,8321,0.7035139790228091,0.0,0.7286470338252179,1.8756880449446087,0.9833317259455899,2.133333444595337,0.0,3.3333332538604736,1.6751651763916016,0.6433526873588562,1.8824918270111084,0.0,2.5268330574035645
13,5,all,True,nl,9461,0.8219623399696553,0.0,0.5846536818243938,0.7967515895090979,0.9675588068053899,0.0,0.0,3.3333332538604736,0.9283699989318848,0.9396007657051086,0.0,0.0,2.496098041534424
14,5,all,True,ul,7144,0.8764447691906888,0.0,0.24992000089877447,0.05566442784022077,0.25147372938073087,0.0,0.0,2.0,0.1089840978384018,0.432429701089859,0.0,0.0,2.3979671001434326
15,5,all,True,all,24926,0.8566338061619359,0.0,0.5699843263846313,0.9445291536074862,1.1047323960506352,0.03333333507180214,0.0,3.3333332538604736,0.9428284168243408,0.9514511227607727,0.11516812443733215,0.0,2.5268330574035645
16,10,all,False,ol,25718,0.31259466647945605,0.0,1.49128380295625,1.727026492377823,0.9973790202372158,1.8666666746139529,0.0,3.3333332538604736,0.780117392539978,0.9673128724098206,0.0,0.0,3.251534938812256
17,10,all,False,nl,34436,0.34399490234669133,0.0,1.0480763762826704,0.8154508995928822,0.8790415309391807,0.6666666865348816,0.0,3.3333332538604736,0.3996400833129883,0.7966414093971252,0.0,0.0,3.5912294387817383
18,10,all,False,ul,22224,0.21756624477134617,2.482409713537422e-236,0.47424600148322005,0.10302075976572926,0.3443855228931474,0.0,0.0,2.0,0.08700063079595566,0.40909019112586975,0.0,0.0,3.0385289192199707
19,10,all,False,all,82378,0.4374514224969005,0.0,1.101889203676151,0.9078402956418814,1.0263469811699752,0.5333333611488342,0.0,3.3333332538604736,0.4340790808200836,0.820328950881958,0.0,0.0,3.5912294387817383
20,10,all,True,ol,11334,0.6920814453165174,0.0,0.7227623218898602,1.910093551130549,0.9682328942364172,2.133333444595337,0.0,3.3333332538604736,1.7259831428527832,0.6635751128196716,1.9013911485671997,0.0,3.251534938812256
21,10,all,True,nl,12466,0.8251801629533811,0.0,0.60004158818528,0.8051821086684219,0.9742795902560342,0.0,0.0,3.3333332538604736,0.958796501159668,0.9871973991394043,0.0,0.0,3.5912294387817383
22,10,all,True,ul,9420,0.9076811213393008,0.0,0.21693066030835995,0.048711961026910514,0.24143720810188693,0.0,0.0,2.0,0.08982783555984497,0.4065041244029999,0.0,0.0,3.0385289192199707
23,10,all,True,all,33220,0.8592739796234385,0.0,0.5715614649001606,0.967648017701616,1.1157840193702768,0.03333333507180214,0.0,3.3333332538604736,0.9741369485855103,0.9886835217475891,0.31719735264778137,0.0,3.5912294387817383
