,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
97,13,False,nl,1476,0.023773030100276718,0.36140813683840367,1.7727318819681595,0.46883468834688347,1.2866750904522144,0.0,0.0,4.0,0.48788881301879883,1.2502676248550415,0.0,0.0,4.0541157722473145
98,13,False,ul,1802,0.02842296661525239,0.22783271891159476,1.3017290998157967,0.25305216426193117,0.6648826442961306,0.0,0.0,2.0,0.3940659463405609,1.1292591094970703,0.0,0.0,4.038774013519287
99,13,False,all,4708,0.05824672973136422,6.363068464046385e-05,1.8306637080780532,0.536108751062022,1.2896936000678454,0.0,0.0,4.0,0.6125960946083069,1.3742790222167969,0.0,0.0,4.064077854156494
100,13,True,ol,137,0.9789529509737431,4.675956586497611e-95,0.44974690470976025,2.832116788321168,1.8186757959004305,4.0,0.0,4.0,2.5912654399871826,1.6997857093811035,3.539626121520996,0.0,3.9993557929992676
101,13,True,nl,78,0.9878057522992636,3.77915981071554e-63,0.39244025847259983,1.435897435897436,1.9187986598840723,0.0,0.0,4.0,1.2630330324172974,1.7086344957351685,0.0,0.0,3.9785943031311035
102,13,True,ul,105,0.976875159889623,7.896170015070876e-71,0.7203201461802601,0.6666666666666666,0.9428090415820635,0.0,0.0,2.0,1.0388092994689941,1.5038751363754272,0.0,0.0,3.9635143280029297
103,13,True,all,320,0.9572836919543664,2.025681508506643e-173,0.542576172058753,1.78125,1.8747395652463303,1.0,0.0,4.0,1.7581090927124023,1.7937047481536865,1.1599762439727783,0.0,3.9993557929992676
104,14,False,ol,1537,0.03478770140972943,0.17283819735430014,2.515972591102813,0.9186727391021471,1.6824777427470319,0.0,0.0,4.0,1.4762376546859741,1.8451279401779175,0.0,0.0,3.9087204933166504
105,14,False,nl,1325,-0.07541212375069437,0.006025998754527608,1.5709476420366344,0.4649056603773585,1.28198493300761,0.0,0.0,4.0,0.15878477692604065,0.7635713219642639,0.0,0.0,3.9068055152893066
106,14,False,ul,1826,0.09289854359317609,7.020324951075966e-05,1.0180986911207803,0.2497261774370208,0.661127212551968,0.0,0.0,2.0,0.2166498750448227,0.8373777270317078,0.0,0.0,3.907036781311035
107,14,False,all,4688,0.11048861147498974,3.292705690246184e-14,1.7823091585843822,0.5298634812286689,1.2822477791082947,0.0,0.0,4.0,0.6132614016532898,1.3848884105682373,0.0,0.0,3.9087204933166504
108,14,True,ol,187,0.9891056363973645,6.910297564567959e-156,0.28990699575858886,3.165775401069519,1.6251054471206483,4.0,0.0,4.0,3.008603096008301,1.561434030532837,3.8669772148132324,0.0,3.9086971282958984
109,14,True,nl,63,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,14,True,ul,110,0.9745579968366995,5.627962954360757e-72,0.6294897432520206,0.5818181818181818,0.9083633452215851,0.0,0.0,2.0,0.8759239315986633,1.4032368659973145,0.0,0.0,3.9027581214904785
111,14,True,all,360,0.9769452491029096,3.563904391356933e-242,0.40587669662935094,1.8222222222222222,1.9007470915860532,1.0,0.0,4.0,1.830445647239685,1.8584568500518799,1.1350200176239014,0.0,3.9086971282958984
112,15,False,ol,1537,0.03850144453102452,0.13135890600211786,2.442864117709963,0.9186727391021471,1.6824777427470319,0.0,0.0,4.0,1.2633516788482666,1.803238868713379,0.0,0.0,3.9141860008239746
113,15,False,nl,1457,-0.016388611248575526,0.5319255511691863,1.726028602468093,0.47494852436513385,1.2939157610385295,0.0,0.0,4.0,0.3589189648628235,1.115431547164917,0.0,0.0,3.916982650756836
114,15,False,ul,1845,-0.05167353595989744,0.026450285003483565,0.9069447354160913,0.24715447154471545,0.658197242690125,0.0,0.0,2.0,0.08974455296993256,0.570723295211792,0.0,0.0,3.9075231552124023
115,15,False,all,4839,0.09529990875932584,3.078832902552838e-11,1.7624143165287027,0.5290349245711924,1.283663918239597,0.0,0.0,4.0,0.5435616970062256,1.3360322713851929,0.0,0.0,3.916982650756836
116,15,True,ol,159,0.996469019604445,7.677312352230545e-171,0.19588559141415451,3.220125786163522,1.5847059872225029,4.0,0.0,4.0,3.087089776992798,1.5246191024780273,3.8398749828338623,0.0,3.9141860008239746
117,15,True,nl,57,0.9997160440507871,5.90112215874642e-91,0.09752475137686922,0.9824561403508771,1.7218026872119718,0.0,0.0,4.0,0.938197910785675,1.6447049379348755,0.0,0.0,3.884974479675293
118,15,True,ul,70,1.0,0.0,0.06633887184178758,0.02857142857142857,0.23733211036908788,0.0,0.0,2.0,0.036500439047813416,0.30319541692733765,0.0,0.0,2.5550308227539062
119,15,True,all,286,0.9985218673473537,0.0,0.15590033836366332,1.993006993006993,1.9964881877604939,1.0,0.0,4.0,1.9121665954589844,1.9161105155944824,1.2775154113769531,0.0,3.9141860008239746
120,16,False,ol,1537,0.0008255752220201033,0.9742009006109746,2.105439486439903,0.9186727391021471,1.6824777427470319,0.0,0.0,4.0,0.4265126883983612,1.1675469875335693,0.0,0.0,4.04572868347168
121,16,False,nl,1443,-0.004220880219638377,0.8727237923585695,1.5544859250465364,0.47955647955647956,1.2993273264044414,0.0,0.0,4.0,0.18625125288963318,0.7958752512931824,0.0,0.0,4.0129828453063965
122,16,False,ul,1840,0.1645949032120595,1.211621160906757e-12,0.8225124079286266,0.24782608695652175,0.658964645892981,0.0,0.0,2.0,0.11252232640981674,0.5940023064613342,0.0,0.0,4.0338358879089355
123,16,False,all,4820,0.05423198832279915,0.00016527555315287116,1.5476553019958772,0.5311203319502075,1.2857608263330587,0.0,0.0,4.0,0.23472024500370026,0.8815577030181885,0.0,0.0,4.04572868347168
124,16,True,ol,64,0.9288130245879768,2.0109532415906646e-28,0.8144596531544662,2.8125,1.8275239396516807,4.0,0.0,4.0,2.3622207641601562,1.6525808572769165,3.1203649044036865,0.0,3.993760824203491
125,16,True,nl,38,0.9995052838525254,1.0864066402322401e-55,0.0918594600287159,0.8421052631578947,1.63072982998207,0.0,0.0,4.0,0.806496262550354,1.5625462532043457,0.0,0.0,3.9332454204559326
126,16,True,ul,68,0.9400582972868957,1.5117466025763056e-32,0.6574168951963192,0.9411764705882353,0.9982683969692436,0.0,0.0,2.0,1.2489374876022339,1.4091662168502808,0.0,0.0,3.993628740310669
