,participant,filtered,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
0,1,False,3250,0.027581075851449095,0.11593723331888393,1.6447394965675521,0.4,1.1688258408136971,0.4367789924144745,1.1892598867416382
1,1,True,108,0.9725858025563023,5.619680618232481e-69,0.4343056940878289,1.7407407407407407,1.8477732864098406,1.7958115339279175,1.8280349969863892
2,2,False,2186,0.05402804381452813,0.011521708018677464,1.9147505816038717,0.5306495882891126,1.3527861658835667,0.68044513463974,1.4218443632125854
3,2,True,136,0.9824541654040448,1.3104534125744353e-99,0.4004814345972397,2.0,2.0,1.8685407638549805,1.9019113779067993
4,3,False,4970,0.15815761957642643,3.3385337842972295e-29,1.7890477502168518,0.5255533199195171,1.2689810174347378,0.7189151644706726,1.462947130203247
5,3,True,534,0.9645318124607432,6.5839605383202e-310,0.4879280394149319,1.7303370786516854,1.840640124020245,1.7712293863296509,1.7936396598815918
6,4,False,5173,0.16966413511701717,1.0365971999793019e-34,1.6949019114520103,0.5049294413299826,1.2480120902115281,0.6352697014808655,1.3706238269805908
7,4,True,520,0.9719350129237135,0.0,0.4290653868719689,1.7038461538461538,1.8220826564951962,1.7224235534667969,1.7749799489974976
8,5,False,4355,0.0336405258634565,0.026418030489031373,2.1250078922919093,0.5340987370838117,1.2852324111833449,1.0367846488952637,1.6597174406051636
9,5,True,446,0.9193547070066735,5.4368817208145815e-182,0.7375384641615601,1.704035874439462,1.8222176009632085,1.7888962030410767,1.8262454271316528
10,6,False,5149,0.10144989389577244,2.947867921735076e-13,1.6658757922754925,0.5072829675665178,1.2504399605398056,0.4494832456111908,1.2333351373672485
11,6,True,292,0.9593163837734349,2.566098537392586e-161,0.5529664789211728,1.773972602739726,1.8699884548219001,1.8936803340911865,1.9066059589385986
12,7,False,5021,0.11350808225198686,7.195721714864398e-16,1.5532713348347786,0.5202150965943039,1.2636191488951987,0.3119010031223297,1.0339903831481934
13,7,True,226,0.9698955084929255,2.1077920754560487e-139,0.46645885894962696,1.8407079646017699,1.912077921179529,1.861912727355957,1.8724340200424194
14,8,False,4043,0.09995117570699032,1.8983839391275615e-10,1.824232551260389,0.5580014840465001,1.2866587110156582,0.6337636709213257,1.4259589910507202
15,8,True,304,0.9827085365929171,2.9362040298460187e-223,0.358589123930416,1.881578947368421,1.9362681500841952,1.87744140625,1.896958589553833
16,9,False,3673,0.07023144866772288,2.042359401791106e-05,1.4832539495199626,0.4780833106452491,1.17979238651593,0.27493780851364136,0.9624775052070618
17,9,True,118,0.9699770639294534,4.4958704241303974e-73,0.46948833839192633,1.8305084745762712,1.905856650423132,1.776248574256897,1.7972054481506348
18,10,False,5153,0.09450340712194247,1.0649351284314845e-11,1.646329850887248,0.5068891907626625,1.2500343821180988,0.4946081042289734,1.1959173679351807
19,10,True,348,0.9709047265944326,7.299152678376042e-217,0.48337567415848576,1.7471264367816093,1.8521090234077615,1.6173195838928223,1.656465768814087
20,11,False,5073,0.06570949557620019,2.812368989486312e-06,1.7750442291361315,0.5062093435836783,1.2604817308887972,0.5763630270957947,1.333388090133667
21,11,True,292,0.9886047399173372,1.548291606625881e-240,0.30896624806942374,1.8904109589041096,1.9413428754034932,1.81541907787323,1.8526432514190674
22,12,False,5037,0.08461675256478113,1.8021573826969717e-09,1.7651634529161622,0.5082390311693469,1.2623743727671881,0.6116052865982056,1.3408918380737305
23,12,True,364,0.9746990627974608,1.221083273737502e-237,0.42815653549216715,1.7802197802197801,1.8740694265242466,1.730484127998352,1.7533601522445679
24,13,False,4747,0.05966044441500661,3.903895561275205e-05,1.7775545701996462,0.5317042342532126,1.285296154392637,0.5794240832328796,1.3060375452041626
25,13,True,320,0.9585292442430017,2.0253939508226733e-175,0.5516616219602696,1.78125,1.8747395652463303,1.6763683557510376,1.7083094120025635
26,14,False,4904,0.11028898013484681,9.554669250290584e-15,1.7529848345071792,0.5065252854812398,1.258396853491685,0.6017749905586243,1.3633617162704468
27,14,True,360,0.9743016559004689,7.726373255308623e-234,0.42841531926145354,1.8222222222222222,1.9007470915860532,1.8262468576431274,1.8370202779769897
28,15,False,5064,0.0965909394029118,5.658333984421887e-12,1.7250945678436402,0.5055292259083728,1.2595484582405374,0.526468813419342,1.3065035343170166
29,15,True,286,0.9981942922837661,0.0,0.19042655309991677,1.993006993006993,1.9964881877604939,1.8859609365463257,1.890797734260559
30,16,False,5078,0.05424891047128571,0.00010987641519157824,1.4983122574841317,0.5041354864119733,1.2580902550905442,0.21779945492744446,0.8329841494560242
31,16,True,170,0.9003442308226535,1.348194072459654e-62,0.7777707538590285,1.6235294117647059,1.7621942911390855,1.4954273700714111,1.6072994470596313
32,17,False,5059,0.0666350031056754,2.0992647397052753e-06,1.538413070937498,0.5139355603874284,1.269385560078939,0.2447524070739746,0.9152901768684387
33,17,True,148,0.9923685787153287,1.2778648649051743e-134,0.25852077665324164,1.8783783783783783,1.9344159164747596,1.8130691051483154,1.844336986541748
34,18,False,4777,0.05308430421093007,0.0002419870671748122,1.6207237258873972,0.52501570023027,1.278087053118474,0.35279086232185364,1.0518079996109009
35,18,True,202,0.9616191986495558,2.7578989246941236e-114,0.5338563984228968,1.7821782178217822,1.8753426638490016,1.6833994388580322,1.7010794878005981
36,19,False,5003,0.07629893179443623,6.542722810013493e-08,1.7549158034312862,0.5196881870877473,1.2752985183586683,0.5554718971252441,1.306241750717163
37,19,True,318,0.9570848877927991,4.982233069628131e-172,0.5676427218997241,1.8553459119496856,1.9208766276650104,1.7596362829208374,1.7822294235229492
38,20,False,4966,0.09025926325028086,1.8662202807201458e-10,1.6165762925722973,0.5155054369714056,1.26989254679972,0.4097466766834259,1.1159409284591675
39,20,True,264,0.9667055144422395,4.145634792921303e-157,0.5160291907085323,1.8409090909090908,1.9121998495091486,1.718182921409607,1.7399311065673828
40,21,False,5004,0.12067056564533447,1.0780232426787714e-17,1.7616741474169155,0.5507593924860112,1.3105141986601285,0.584546685218811,1.3455389738082886
41,21,True,400,0.9741556687934056,2.8485968291532144e-259,0.43632473994318427,1.84,1.911648503255763,1.7955797910690308,1.8180168867111206
42,22,False,5009,0.0267408866784814,0.05843327496021074,1.8368243197915097,0.5438211219804352,1.3028702181320775,0.5645861029624939,1.3299211263656616
43,22,True,258,0.9663729278051193,5.218729253229202e-153,0.49359083602854137,1.8527131782945736,1.9193053297328857,1.8455874919891357,1.8553309440612793
44,23,False,4827,0.03089549794014584,0.03183541598678212,1.8576029244432057,0.5643256681168427,1.3228386087047304,0.5908986926078796,1.3453813791275024
45,23,True,284,0.9689315364699336,3.923222863520327e-173,0.47902030592394207,1.8380281690140845,1.910450591874922,1.7744063138961792,1.8047599792480469
46,24,False,4989,0.09933800683463309,2.033493234338732e-12,1.719413038668676,0.5460012026458209,1.305023115707198,0.5144022107124329,1.256183385848999
47,24,True,324,0.9845095296584637,1.5030631817821825e-245,0.402174798753367,1.9197530864197532,1.9578219034683286,1.760686993598938,1.7910751104354858
48,25,False,5048,0.045748517499530676,0.0011488000229973245,2.319021512598862,0.5182250396196514,1.2742359893862618,1.2389708757400513,1.8577685356140137
49,25,True,508,0.9483054396791522,2.2771109763066148e-254,0.6629415049529561,1.8622047244094488,1.9249472488470487,2.0039615631103516,2.0403757095336914
50,26,False,4277,0.0840882620426527,3.641351484219179e-08,1.758513782836664,0.5237315875613748,1.2803108953473123,0.5366214513778687,1.3178653717041016
51,26,True,272,0.9746857486378262,1.1051552055511255e-177,0.4236706848109734,1.7794117647058822,1.873543263408025,1.8379077911376953,1.850814938545227
52,27,False,4715,0.03337554096459467,0.021917709844832524,1.9189518861705468,0.5497348886532344,1.3051076079044752,0.6944964528083801,1.4435629844665527
53,27,True,324,0.9634562716919948,2.8380978971629303e-186,0.5025850811745121,1.7592592592592593,1.860258695522243,1.809276819229126,1.8345589637756348
54,28,False,4552,0.05168995432423881,0.0004851600256052746,1.7710483616688084,0.5140597539543058,1.2733841009238744,0.5492221713066101,1.2979742288589478
55,28,True,262,0.9749871486572628,7.753944469785958e-172,0.4147869297958093,1.7633587786259541,1.8629864437506003,1.7747410535812378,1.7948254346847534
56,29,False,5118,0.07531181649063105,6.884185342896876e-08,1.7721965776789437,0.5455255959359124,1.3062578614706795,0.5353776216506958,1.3000197410583496
57,29,True,308,0.9828316954817979,1.1593766071880275e-226,0.3879395011528089,1.9155844155844155,1.9555160035848864,1.8056937456130981,1.8311489820480347
