,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
0,1,1,False,ol,2770,0.1646678711678688,2.7262617628421926e-18,1.3035884008160665,0.9125631906065269,1.0289980428621295,0.5000000149011612,0.0,3.3333332538604736,0.2232511341571808,0.6099717020988464,0.0,0.0,2.115769863128662
1,1,1,False,nl,380,0.03778181768287422,0.46274211889934447,0.40091190972263885,0.053508772465743516,0.2480378540233393,0.0,0.0,1.600000023841858,0.05847757309675217,0.32444387674331665,0.0,0.0,2.0458595752716064
2,1,1,False,ul,0,,,,,,,,,,,,,
3,1,1,False,all,3150,0.18000904842808055,2.3798628324362918e-24,1.2303383026143273,0.8089312290530356,1.0083709458366488,0.0,0.0,3.3333332538604736,0.2033737152814865,0.5854570865631104,0.0,0.0,2.115769863128662
4,1,1,True,ol,473,0.7851038193021322,4.745805203908601e-100,0.6902239912571598,0.9492600572317146,1.0970822420464108,0.4000000059604645,0.0,3.3333332538604736,1.0389413833618164,0.9429020285606384,1.7468019723892212,0.0,2.115769863128662
5,1,1,True,nl,53,0.8634100578586367,8.976267236417928e-17,0.31869222632620775,0.025157233454146475,0.11885295157447531,0.0,0.0,0.8000000119209291,0.09960506856441498,0.40663662552833557,0.0,0.0,1.763957142829895
6,1,1,True,ul,0,,,,,,,,,,,,,
7,1,1,True,all,526,0.7971987306774675,6.262138503384021e-117,0.6622987717149998,0.8561470350640128,1.0775502496584533,0.03333333507180214,0.0,3.3333332538604736,0.9442934393882751,0.9466208219528198,0.8615742325782776,0.0,2.115769863128662
8,1,2,False,ol,1004,0.10461765352953534,0.000900512924725581,1.8117832103445173,1.827622867215321,0.9448437301498803,2.0,0.0,3.3333332538604736,0.47199690341949463,0.8484324216842651,0.0,0.0,2.253974676132202
9,1,2,False,nl,714,0.1203907675351842,0.0012684301423688668,1.0318806668314626,0.7363212098803172,0.7279514280382214,0.8000000119209291,0.0,2.933333396911621,0.2063942700624466,0.599226713180542,0.0,0.0,2.1574864387512207
