,participant,filtered,samples,coefficient,RMSE,actualMean,actualStDev,predMean,predStDev
0,1,False,3250,0.02776745610673717,1.6055148502861996,0.4,1.1688258408136971,0.41624993085861206,1.1335062980651855
1,1,True,108,0.975280566017573,0.4135407742024415,1.7407407407407407,1.8477732864098406,1.706813097000122,1.7459394931793213
2,2,False,2186,0.05000216930558392,1.8830285096102612,0.5306495882891126,1.3527861658835667,0.656762957572937,1.373183012008667
3,2,True,136,0.9802693506308967,0.4799410493520091,2.0,2.0,1.7736986875534058,1.8093992471694946
4,3,False,4970,0.1604635789017434,1.8237434604919873,0.5255533199195171,1.2689810174347378,0.7444161176681519,1.5110232830047607
5,3,True,534,0.962468700089576,0.5221612728441481,1.7303370786516854,1.840640124020245,1.851473331451416,1.8634381294250488
6,4,False,5173,0.1696992106402277,1.7274541175636486,0.5049294413299826,1.2480120902115281,0.6598128080368042,1.4148777723312378
7,4,True,520,0.9694989034701225,0.46092752349729565,1.7038461538461538,1.8220826564951962,1.8006333112716675,1.8269110918045044
8,5,False,4355,0.037634357211417384,2.1192414323699404,0.5340987370838117,1.2852324111833449,1.0414212942123413,1.6559525728225708
9,5,True,446,0.9304625586550096,0.6919040470683804,1.704035874439462,1.8222176009632085,1.8209009170532227,1.8345551490783691
10,6,False,5149,0.10096800531726295,1.6848242325507397,0.5072829675665178,1.2504399605398056,0.46111592650413513,1.2615259885787964
11,6,True,292,0.9616428413153966,0.5577281155157003,1.773972602739726,1.8699884548219001,1.9342540502548218,1.947446584701538
12,7,False,5021,0.11540295479136341,1.5553575140104872,0.5202150965943039,1.2636191488951987,0.3150296211242676,1.0411285161972046
13,7,True,234,0.9667790621668775,0.48713466898239904,1.811965811965812,1.894353390490261,1.851172924041748,1.8673629760742188
14,8,False,4043,0.10102437952898172,1.8410105632509275,0.5580014840465001,1.2866587110156582,0.6466135382652283,1.4501631259918213
15,8,True,304,0.9824857802611757,0.3649892578655401,1.881578947368421,1.9362681500841952,1.9253696203231812,1.9358707666397095
