,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
0,False,ol,26440,0.21924271218992636,3.508562541736467e-285,1.915388259337497,1.733610716714339,0.9946775149406935,1.8666666746139529,0.0,3.3333332538604736,1.1365439891815186,1.7576853036880493,0.0,0.0,4.788035869598389
1,False,nl,36705,0.2724833998778052,0.0,1.4585392711169949,0.8442864428195296,0.8941108665444607,0.7333333492279053,0.0,3.3333332538604736,0.6165953278541565,1.3992319107055664,0.0,0.0,4.755635738372803
2,False,ul,23830,0.2002460427023437,4.571550706658204e-214,0.7827614145890156,0.10703874804701717,0.3508423925170969,0.0,0.0,2.0,0.1719725877046585,0.7705007791519165,0.0,0.0,4.5148024559021
3,False,all,86975,0.34077437959314244,0.0,1.4767943668700974,0.9126408117226603,1.027884590989911,0.5333333611488342,0.0,3.3333332538604736,0.6528365612030029,1.436357021331787,0.0,0.0,4.788035869598389
4,True,ol,8620,0.6940608824975745,0.0,1.7484959090482404,1.8845707921937904,0.9827670305571597,2.133333444595337,0.0,3.3333332538604736,3.366611957550049,1.2822843790054321,3.8991951942443848,0.0,4.788035869598389
5,True,nl,10228,0.8165428440749066,0.0,1.6413083330881262,0.8242536954753652,0.9811346380928587,0.13333334028720856,0.0,3.3333332538604736,1.90751314163208,1.8964191675186157,2.4470555782318115,0.0,4.755635738372803
6,True,ul,7744,0.8692454923163218,0.0,0.6614664243089237,0.06403236981184984,0.27691016813871144,0.0,0.0,2.0,0.22483745217323303,0.8675507307052612,0.0,0.0,4.5148024559021
7,True,all,26592,0.8540894997815135,0.0,1.4678517216602405,0.9465754248591859,1.1060949982149084,0.03333333507180214,0.0,3.3333332538604736,1.8904701471328735,1.910452961921692,0.30625009536743164,0.0,4.788035869598389
