,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
127,16,True,all,3905,0.9626051054207931,0.0,0.13470133478627616,0.0706786171574904,0.49491465182407873,0.0,0.0,4.0,0.0671076774597168,0.4639507234096527,0.0,0.0,3.893519401550293
128,17,False,ol,1542,0.034176934615386075,0.17979908384807497,2.1497368723012205,0.9286640726329443,1.6888574039073192,0.0,0.0,4.0,0.531411349773407,1.328409194946289,0.0,0.0,4.223594665527344
129,17,False,nl,1524,-0.026181944571976378,0.30704660131406625,1.5836355432671834,0.4671916010498688,1.2847172498678205,0.0,0.0,4.0,0.21176429092884064,0.8570326566696167,0.0,0.0,4.218527317047119
130,17,False,ul,1851,0.07532660725280854,0.0011818914541723788,0.7931332433936442,0.24635332252836303,0.6572797620009021,0.0,0.0,2.0,0.055614180862903595,0.4533838629722595,0.0,0.0,4.186733245849609
131,17,False,all,4917,0.06592752606962873,3.7138751538170998e-06,1.569525151517878,0.5287777099857637,1.284533387182149,0.0,0.0,4.0,0.2532249093055725,0.9476030468940735,0.0,0.0,4.223594665527344
132,17,True,ol,1084,0.9914038115047796,0.0,0.12261122638432224,0.2140221402214022,0.9001572553618947,0.0,0.0,4.0,0.20277100801467896,0.8602306842803955,0.0,0.0,4.223594665527344
133,17,True,nl,1270,0.9938054936968985,0.0,0.03442420229769821,0.02204724409448819,0.29614674640419547,0.0,0.0,4.0,0.021032104268670082,0.2842719256877899,0.0,0.0,4.09404182434082
134,17,True,ul,1613,0.9896466629409562,0.0,0.1344107014443735,0.011159330440173589,0.14897694527836913,0.0,0.0,2.0,0.020740879699587822,0.2797872722148895,0.0,0.0,4.1504435539245605
135,17,True,all,3967,0.9777913312198623,0.0,0.10878033440449403,0.07007814469372321,0.5160685659415796,0.0,0.0,4.0,0.07057463377714157,0.516215443611145,0.0,0.0,4.223594665527344
136,18,False,ol,1537,0.008809238244193988,0.7300279862266896,2.1800459087313295,0.9186727391021471,1.6824777427470319,0.0,0.0,4.0,0.6966165900230408,1.3833166360855103,0.0,0.0,3.8041329383850098
137,18,False,nl,1350,-0.0798201407553343,0.0033382076411763166,1.6890359931270336,0.4740740740740741,1.29288439877164,0.0,0.0,4.0,0.29667651653289795,0.9740539789199829,0.0,0.0,3.8041329383850098
138,18,False,ul,1821,0.13740686930618773,3.920640523117302e-09,0.7843587070314312,0.2504118616144975,0.6619045420540313,0.0,0.0,2.0,0.07965011149644852,0.48618850111961365,0.0,0.0,3.8041329383850098
139,18,False,all,4708,0.052256570489207475,0.0003344063858713697,1.6147944004850714,0.5327102803738317,1.2858258239172649,0.0,0.0,4.0,0.343299925327301,1.0278445482254028,0.0,0.0,3.8041329383850098
140,18,True,ol,1016,0.9924362599669289,0.0,0.18936045421893183,0.29133858267716534,1.0394595523406969,0.0,0.0,4.0,0.24978718161582947,0.8980017304420471,0.0,0.0,3.8041329383850098
141,18,True,nl,1083,0.9979757493741543,0.0,0.08852989416635228,0.018467220683287166,0.27116018235239386,0.0,0.0,4.0,0.012504640966653824,0.18398211896419525,0.0,0.0,2.9385552406311035
142,18,True,ul,1588,0.9961446394394349,0.0,0.08185608775681891,0.027707808564231738,0.23376889115755195,0.0,0.0,2.0,0.0367894172668457,0.31159111857414246,0.0,0.0,3.2095746994018555
143,18,True,all,3687,0.983053980606948,0.0,0.12275587782015769,0.09764035801464606,0.5976287722952344,0.0,0.0,4.0,0.08835040032863617,0.5329084992408752,0.0,0.0,3.8041329383850098
144,19,False,ol,1542,-0.05887018815292992,0.020785223744668502,2.5797462373274795,0.9286640726329443,1.6888574039073192,0.0,0.0,4.0,1.2797054052352905,1.821385383605957,0.0,0.0,4.031988620758057
145,19,False,nl,1501,0.08169431822796953,0.0015363890778072175,1.6932624374097975,0.4743504330446369,1.2932105005949004,0.0,0.0,4.0,0.4261474311351776,1.2027268409729004,0.0,0.0,4.036087512969971
146,19,False,ul,1851,0.11466054053000846,7.573191953199172e-07,0.9247349883835785,0.24635332252836303,0.6572797620009021,0.0,0.0,2.0,0.14919833838939667,0.7229432463645935,0.0,0.0,4.0380072593688965
147,19,False,all,4894,0.07811412609133686,4.459757950101193e-08,1.816498985502096,0.5312627707396812,1.2870354765724343,0.0,0.0,4.0,0.5903390049934387,1.3849910497665405,0.0,0.0,4.0380072593688965
148,19,True,ol,874,0.9977536662782367,0.0,0.0979499362475511,0.4622425629290618,1.278789296457012,0.0,0.0,4.0,0.444307804107666,1.2319403886795044,0.0,0.0,4.025725841522217
149,19,True,nl,1224,0.9870825212080838,0.0,0.12427391355857902,0.11437908496732026,0.6666586568787055,0.0,0.0,4.0,0.10092779248952866,0.595956027507782,0.0,0.0,4.036087512969971
150,19,True,ul,1592,0.9938328649296932,0.0,0.20675727958353363,0.028894472361809045,0.23865048541863632,0.0,0.0,2.0,0.05304151400923729,0.4408087730407715,0.0,0.0,4.015438556671143
151,19,True,all,3690,0.9780226376983763,0.0,0.16074396193280022,0.15989159891598917,0.7675081907950897,0.0,0.0,4.0,0.16159965097904205,0.7657357454299927,0.0,0.0,4.036087512969971
152,20,False,ol,1537,0.009412374163157496,0.7123392462362955,2.378992483177637,0.9186727391021471,1.6824777427470319,0.0,0.0,4.0,1.068629264831543,1.6911382675170898,0.0,0.0,3.9307861328125
153,20,False,nl,1452,-0.02057530817768165,0.43337332313218485,1.5880397994764688,0.4765840220385675,1.2958409462938778,0.0,0.0,4.0,0.2157025933265686,0.8538593649864197,0.0,0.0,3.9211959838867188
154,20,False,ul,1841,0.13525456568280103,5.6703687564564505e-09,0.83730501325956,0.24769147202607278,0.6588109582708099,0.0,0.0,2.0,0.10502377152442932,0.5937197208404541,0.0,0.0,3.901249885559082
155,20,False,all,4830,0.09009666797157614,3.548500120006914e-10,1.6811743390431462,0.5300207039337475,1.2846559824949897,0.0,0.0,4.0,0.444934219121933,1.2030164003372192,0.0,0.0,3.9307861328125
156,20,True,ol,949,0.997997885047032,0.0,0.10785646431062428,0.43414120126448896,1.2442211308375142,0.0,0.0,4.0,0.408342182636261,1.1726305484771729,0.0,0.0,3.9307861328125
