,filtered,condition,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
0,False,ol,6635,,,3.459140093216191,4.0,0.0,1.0088595151901245,1.7374489307403564
1,False,nl,6651,,,2.0004382159184306,2.0,0.0,0.4923902451992035,1.3148634433746338
2,False,ul,46593,,,1.4708162498300332,0.0,0.0,0.5405359268188477,1.367889404296875
3,True,ol,1673,,,0.00729262534228962,4.0,0.0,4.001065731048584,0.007214341778308153
4,True,nl,818,,,2.003560270454355,2.0,0.0,4.0035295486450195,0.011015087366104126
5,True,ul,2491,,,0.0,0.0,0.0,0.0,0.0
