,windowSize,participant,filtered,samples,coefficient,RMSE,actualMean,actualStDev,predMean,predStDev
0,1,1,False,3150,0.18019406696246457,1.228030177894504,0.8089312290530356,1.0083709458366488,0.19843009114265442,0.5709970593452454
1,1,1,True,526,0.7971395333210793,0.6571184627571183,0.8561470350640128,1.0775502496584533,0.9219611287117004,0.9235126376152039
2,1,2,False,3150,0.2803570691386509,1.1803621987935686,0.8080000119881025,1.0074856713152502,0.2283399999141693,0.6317450404167175
3,1,2,True,600,0.8527123188611174,0.5932597663180121,0.9610000151768326,1.1337308750753516,0.9871015548706055,0.9897361397743225
4,1,3,False,3150,0.0865956683363729,1.2754538869961254,0.808973557159068,1.0082390346547558,0.10726235061883926,0.4415137469768524
5,1,3,True,278,0.7912289301136006,0.6491483177475954,0.7426858595002899,0.9291919876936103,0.9596229195594788,0.9620480537414551
6,1,4,False,3150,0.24061915359280558,1.210164134592569,0.8093121814680478,1.0084920232507422,0.1477440595626831,0.5046811699867249
7,1,4,True,456,0.8361026821450384,0.5903401529982508,0.8900584881765801,1.0699959954097575,0.9362688660621643,0.9374200105667114
8,1,5,False,3150,0.22485047273817863,1.2102326803119527,0.8092486894083402,1.0087017443491355,0.2036537379026413,0.5899600982666016
9,1,5,True,536,0.8469572446422573,0.5793628636657924,0.9171641982897226,1.0851189867635058,0.9548535346984863,0.9565914273262024
10,1,6,False,3150,0.29648629824624095,1.1958488597043497,0.8095449855237726,1.0097027990790084,0.12214232236146927,0.46564769744873047
11,1,6,True,396,0.9036193790187648,0.47855910490355913,1.0010101108840017,1.1043425680780914,0.9476907849311829,0.9487277865409851
12,1,7,False,3150,0.20282946779899855,1.2203812343826068,0.8081481600233487,1.006089366026286,0.1614614725112915,0.5211658477783203
13,1,7,True,492,0.8070206023356079,0.6186592831986719,0.8208672168808497,1.0194752056068994,0.9223516583442688,0.9227750301361084
14,1,8,False,3150,0.07994581672530106,0.9359483574361553,0.36167196443629646,0.7950693138217502,0.15713435411453247,0.5175102949142456
15,1,8,True,162,0.8493156226411558,0.5834229802835574,0.9382716179997833,1.104959662333028,0.9294356107711792,0.9298176169395447
16,1,9,False,3150,0.1454307556952854,0.9213728455753848,0.3810582079206194,0.811070423279112,0.15488232672214508,0.510192334651947
17,1,9,True,208,0.8516377203680819,0.6085898337888602,0.9785256526218011,1.1507097319145363,0.921471357345581,0.9219394326210022
18,1,10,False,3150,0.21553550921552672,1.2381784095366044,0.8845079526565378,0.9894066176159876,0.19420863687992096,0.564142107963562
19,1,10,True,598,0.8074029056977556,0.6228648823169445,0.8381271024412136,1.0383805630825569,0.9174006581306458,0.918030858039856
20,1,11,False,3150,0.33602023235446754,1.1492760410310654,0.8844444604359922,0.9884026048094591,0.3266434669494629,0.7103555202484131
21,1,11,True,932,0.8793774249365349,0.5106796313730091,0.9367668239215925,1.0725106654037877,0.9419175982475281,0.9451988935470581
22,1,12,False,3150,0.2268460943251649,1.230634013623185,0.8849100693516315,0.9909104590724289,0.2640712261199951,0.6693553924560547
23,1,12,True,718,0.822769051927756,0.6222992260551089,0.848467979787701,1.0419623532272357,0.9863191843032837,0.9896630644798279
24,1,13,False,3150,0.3362932454191695,1.186571924739798,0.8840846722490258,0.9894326978052264,0.18706686794757843,0.5648120641708374
25,1,13,True,618,0.8756987787057395,0.5253282498768431,0.9516720779987601,1.0877938742986852,0.9447923898696899,0.9466516971588135
26,1,14,False,3150,0.211172721395051,1.2429357131821166,0.884465624753918,0.9883115742156042,0.1772613227367401,0.5426940321922302
27,1,14,True,518,0.833796965644924,0.59400453207027,0.8877735032221755,1.0731946354791277,0.9207860231399536,0.921643853187561
28,1,15,False,3150,-0.0556847733676952,1.3558236223907496,0.8847619211460863,0.9895560067296202,0.16790145635604858,0.5349680185317993
29,1,15,True,288,0.7624814100563284,0.6778338136435964,0.7000000132765207,0.9099247154271128,0.9334493279457092,0.9353715777397156
30,1,16,False,3150,-0.05565212025265745,1.34826875885185,0.8847619211460863,0.9895560067296202,0.15878933668136597,0.5058249235153198
31,1,16,True,288,0.766479190329667,0.6390778029100764,0.7000000132765207,0.9099247154271128,0.8808802366256714,0.8822627663612366
32,1,17,False,3150,0.2553128284347612,1.3573325220917423,1.0746031901595139,1.0814520069975597,0.32816460728645325,0.7141479253768921
33,1,17,True,938,0.8513942649759945,0.6032617878257682,0.976972291559807,1.1469520980780885,0.9437707662582397,0.9466411471366882
34,1,18,False,3150,0.1711874546879225,1.4498970378339724,1.0732486921217705,1.0811427154343518,0.1378505378961563,0.48940691351890564
35,1,18,True,408,0.8662267705652306,0.5680244132051429,0.9802287699399042,1.1310680771661128,0.9387593269348145,0.9403975009918213
36,1,19,False,3150,0.1711806936193094,1.4507753415184261,1.0732486921217705,1.0811427154343518,0.14440496265888214,0.5127596855163574
37,1,19,True,408,0.8658318425274011,0.5659567678217341,0.9802287699399042,1.1310680771661128,0.9835120439529419,0.9855341911315918
38,1,20,False,3150,0.3312408347254967,1.3474764386832379,1.07477250219101,1.0813320195501075,0.23404549062252045,0.6187303066253662
39,1,20,True,766,0.8961799816740554,0.5359964895384564,1.0388163779096256,1.1614550341222547,0.9348272085189819,0.9363893866539001
40,1,21,False,3150,0.23425919434375206,1.4095576451016885,1.0748994863766526,1.0822935841795163,0.18685422837734222,0.5554479360580444
41,1,21,True,590,0.8579008396004373,0.6043390651310917,0.9888135689294945,1.1593568902811964,0.9186578392982483,0.9207823872566223
42,1,22,False,3150,0.15924944263454832,1.3382264338970444,1.0764232959066118,1.081457992543986,0.8316928744316101,0.9410296678543091
43,1,22,True,1556,0.8511748431085969,0.5729633465515341,0.9229648791703666,1.0889756422142751,0.951490044593811,0.9545682072639465
44,1,23,False,3150,0.29344043119305346,1.3619273920256865,1.075111126017476,1.0823284546289422,0.24549518525600433,0.6274662613868713
45,1,23,True,806,0.8491206776529154,0.6134406634850366,0.9801488940513903,1.152067558335212,0.9234996438026428,0.92530357837677
46,1,24,False,3150,0.22519048365742367,1.3934719123890535,1.0757672117413983,1.0829780076136015,0.24215494096279144,0.6092376112937927
47,1,24,True,732,0.8583266156873643,0.6103974455582712,0.9926229657432257,1.1544061533806105,0.8862720131874084,0.8887810707092285
48,1,25,False,3150,0.27331756283545144,1.1973941887565638,0.8037037161087233,1.0084043957031035,0.13186976313591003,0.47927114367485046
49,1,25,True,436,0.8340640085395177,0.607835043269713,0.9165137735528683,1.1005709278415985,0.9370403289794922,0.9382367730140686
50,1,26,False,3150,0.3249539576611199,1.1709866715814492,0.8081269963818883,1.007735305142028,0.15089631080627441,0.5034282803535461
51,1,26,True,518,0.8959582536665239,0.47486271423743903,0.9550836685771648,1.0620632069831144,0.9141483902931213,0.9152977466583252
52,1,27,False,3150,0.2844655648947732,1.214048834903695,0.8846561003630123,0.9897111996357972,0.16231855750083923,0.5093080401420593
53,1,27,True,578,0.8248742524870125,0.6100376113719088,0.8884659880533763,1.0788348689710454,0.878636360168457,0.880304753780365
54,1,28,False,3150,0.13721682152180484,1.3027306051683738,0.8846137728601221,0.9903945962948549,0.03476784750819206,0.2475050538778305
55,1,28,True,104,0.9374617216578145,0.4840385686444684,1.0846153979118054,1.1605050148687328,0.8973820209503174,0.8980483412742615
56,1,29,False,3150,0.29071657873201595,1.1646826372008767,0.8858836124837398,0.9914130664735037,0.3972836136817932,0.7550464272499084
57,1,29,True,1084,0.8399987337679358,0.5816352927568585,0.8936039496529367,1.0695475930339053,0.9222057461738586,0.9249802827835083
58,1,30,False,3150,0.3258141704964001,1.1879587602328783,0.8860740901742663,0.9907238689818527,0.19878129661083221,0.5708552598953247
59,1,30,True,642,0.8826431245883695,0.514662884843669,0.9599169430285228,1.0884265567251354,0.9202666282653809,0.9211586117744446
60,5,1,False,3150,0.2122938086864073,1.204636988472076,0.8089312290530356,1.0083709458366488,0.2618502974510193,0.6393555998802185
61,5,1,True,666,0.825890739084645,0.6158422058395243,0.9028028173221124,1.091855144700679,0.91339111328125,0.9144187569618225
62,5,2,False,3150,0.3638176014683112,1.1175987052425282,0.8080000119881025,1.0074856713152502,0.2989004850387573,0.6969490647315979
63,5,2,True,886,0.8290533612471724,0.6248608931213551,0.9162528352732044,1.1124640899897664,0.9603847861289978,0.9616602659225464
64,5,3,False,3150,0.10358452910934658,1.2681467223412197,0.808973557159068,1.0082390346547558,0.15674859285354614,0.5253418684005737
65,5,3,True,442,0.7827825013762095,0.6674578431080034,0.6778280639607982,0.862232607833054,0.9561319947242737,0.958042323589325
66,5,4,False,3150,0.36714727446567424,1.1295574641007091,0.8093121814680478,1.0084920232507422,0.22708472609519958,0.6089099049568176
67,5,4,True,748,0.8545066307534541,0.565616993212282,0.9233511695289676,1.0888382900328908,0.9291996955871582,0.9301483631134033
68,5,5,False,3150,0.30518884363843346,1.1520671440224814,0.8092486894083402,1.0087017443491355,0.30102458596229553,0.6902788877487183
69,5,5,True,832,0.8448386826155343,0.5833348232665092,0.9159455330003626,1.0886173198060083,0.9400745034217834,0.9413580298423767
70,5,6,False,3150,0.4225376395585527,1.1118948509424684,0.8095449855237726,1.0097027990790084,0.19652724266052246,0.5784239172935486
71,5,6,True,652,0.9116972038261927,0.47997957030407146,1.032617597675031,1.1326321868064984,0.9494796395301819,0.9494796991348267
72,5,7,False,3150,0.4174293995098339,1.0718383841142962,0.8081481600233487,1.006089366026286,0.3405669629573822,0.7271608114242554
73,5,7,True,1048,0.8389777116870403,0.5981570270193741,0.922391866852764,1.0972163344145922,0.9466705918312073,0.9472358822822571
74,5,8,False,3150,0.2541816837144545,0.9477247853008406,0.36167196443629646,0.7950693138217502,0.3823333978652954,0.755681574344635
75,5,8,True,504,0.8601379576854087,0.5765947013960101,0.9694444590085556,1.1270801972479922,0.9380261898040771,0.9380260109901428
76,5,9,False,3150,0.2816250857047903,0.9463568758097493,0.3810582079206194,0.811070423279112,0.39945268630981445,0.766555666923523
77,5,9,True,566,0.8630995125966965,0.5693516709501156,0.9704358212834112,1.12389786015285,0.9385418891906738,0.9389397501945496
78,5,10,False,3150,0.41464191762158986,1.0784822505145493,0.8845079526565378,0.9894066176159876,0.45373156666755676,0.8188260793685913
79,5,10,True,1374,0.8281084686050549,0.6060825706550077,0.8751091847990624,1.0567558333911242,0.965712308883667,0.965712308883667
80,5,11,False,3150,0.4674563686380708,1.0643280311671475,0.8844444604359922,0.9884026048094591,0.3411867618560791,0.7344354391098022
81,5,11,True,1076,0.8938024762295234,0.48998858934886413,0.9736059639035104,1.0919315624167483,0.9620083570480347,0.9633445143699646
82,5,12,False,3150,0.30299789624930695,1.1771532648455159,0.8849100693516315,0.9909104590724289,0.33731383085250854,0.7407786250114441
83,5,12,True,958,0.8287943295106232,0.6119033640365666,0.8642310502011492,1.05123167657833,0.9862158298492432,0.9876267910003662
84,5,13,False,3150,0.4227652597262559,1.1216222245762664,0.8840846722490258,0.9894326978052264,0.24527235329151154,0.6326601505279541
85,5,13,True,822,0.890850072648047,0.505490241044489,0.9831305947109441,1.1038416880090371,0.9377977252006531,0.9387399554252625
86,5,14,False,3150,0.31733740700118346,1.1784425135982388,0.884465624753918,0.9883115742156042,0.2626551687717438,0.6653119325637817
87,5,14,True,748,0.8586924392578504,0.5706848476956506,0.951247787431759,1.1120070473066166,0.9739543795585632,0.9745330214500427
88,5,15,False,3150,-0.07194689159703248,1.366660884365286,0.8847619211460863,0.9895560067296202,0.21057386696338654,0.5914357304573059
89,5,15,True,358,0.7570151386690703,0.6860660229108057,0.6824953598932847,0.8903567865137594,0.934506893157959,0.9361888766288757
90,5,16,False,3150,-0.07073819294024832,1.3681442600362377,0.8847619211460863,0.9895560067296202,0.21229369938373566,0.5972966551780701
91,5,16,True,358,0.7574968703108764,0.6942688110888905,0.6824953598932847,0.8903567865137594,0.9443896412849426,0.9493206739425659
92,5,17,False,3150,0.38748740958641054,1.2595765423564103,1.0746031901595139,1.0814520069975597,0.4018784165382385,0.793265700340271
93,5,17,True,1222,0.8614856696382409,0.5910004805895923,1.0002182327613307,1.1629236060933825,0.9828174710273743,0.985261857509613
94,5,18,False,3150,0.23459976395551319,1.4001214028399913,1.0732486921217705,1.0811427154343518,0.20861850678920746,0.5825980305671692
95,5,18,True,642,0.8615307568749007,0.5951466208124057,0.9934579552705414,1.153131153290674,0.9178048372268677,0.9178049564361572
96,5,19,False,3150,0.23557173613105953,1.4003807938201478,1.0732486921217705,1.0811427154343518,0.21760286390781403,0.6081443428993225
97,5,19,True,642,0.8622126219119957,0.5862124001593322,0.9934579552705414,1.153131153290674,0.9582156538963318,0.9594147205352783
98,5,20,False,3150,0.4389197778549886,1.2410843157713833,1.07477250219101,1.0813320195501075,0.35846415162086487,0.763020396232605
99,5,20,True,1128,0.9078159715632161,0.4945471809254708,1.0540189281475882,1.1599764395454282,0.9893068075180054,0.9918243288993835
100,5,21,False,3150,0.3672848638846565,1.2976422071000144,1.0748994863766526,1.0822935841795163,0.3234586715698242,0.7228819131851196
101,5,21,True,1034,0.8634681744346646,0.5866796394003984,0.9947130992086298,1.1601883339943022,0.9685075879096985,0.9694763422012329
102,5,22,False,3150,0.21959730370228406,1.3158927164538226,1.0764232959066118,1.081457992543986,1.2614173889160156,1.0018142461776733
103,5,22,True,1236,0.8528729710546046,0.5848268251964331,0.9181769272270326,1.078789527380668,1.0295803546905518,1.0312210321426392
104,5,23,False,3150,0.42489043061709475,1.2336772934121985,1.075111126017476,1.0823284546289422,0.4037632644176483,0.7934848070144653
105,5,23,True,1286,0.8657408245711418,0.5769784965810286,0.9964748706384728,1.1520073032187008,0.9814869165420532,0.9816776514053345
106,5,24,False,3150,0.36430077482283124,1.2762598703962607,1.0757672117413983,1.0829780076136015,0.36680281162261963,0.7247130870819092
107,5,24,True,1172,0.8664492452492638,0.6090008617270131,1.0189419955765326,1.1725633438120784,0.8970303535461426,0.9006279706954956
108,5,25,False,3150,0.354278096459766,1.139527724393696,0.8037037161087233,1.0084043957031035,0.20236711204051971,0.5755898952484131
109,5,25,True,688,0.8595134283545287,0.5472088716355012,0.912887611556365,1.0705485723246673,0.9192788004875183,0.9204455614089966
110,5,26,False,3150,0.36770430868988996,1.1421362023293968,0.8081269963818883,1.007735305142028,0.17538481950759888,0.5314468145370483
111,5,26,True,620,0.896318389783221,0.48640815336826076,0.9679570025013339,1.0722126341738725,0.8910679221153259,0.8928793668746948
112,5,27,False,3150,0.39933655139559293,1.1266240465259325,0.8846561003630123,0.9897111996357972,0.2548747658729553,0.6173404455184937
113,5,27,True,918,0.8430544627905685,0.5904894936091164,0.9214233995328023,1.0912621579924786,0.8745703101158142,0.8750774264335632
114,5,28,False,3150,0.11753052723695602,1.3116422760928632,0.8846137728601221,0.9903945962948549,0.018815316259860992,0.1752774864435196
115,5,28,True,60,0.960078992015902,0.5812544022220831,1.1655555645624796,1.216460671238452,0.8323870301246643,0.8346336483955383
116,5,29,False,3150,0.4048494809714867,1.0706477772375138,0.8858836124837398,0.9914130664735037,0.5234618782997131,0.840847373008728
