,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
154,20,False,ul,1841,0.1362318031067103,4.392504163769537e-09,0.8394911376452188,0.24769147202607278,0.6588109582708099,0.10592634975910187,0.5983484983444214
155,20,False,all,4830,0.09044325095378049,3.036088251889164e-10,1.6933148033190246,0.5300207039337475,1.2846559824949897,0.4519749581813812,1.2227067947387695
156,20,True,ol,137,0.9918970005981279,7.474059873962003e-123,0.2571571554905966,3.0072992700729926,1.72781601465851,2.881114959716797,1.6688405275344849
157,20,True,nl,49,0.9934254592583577,6.710667568547834e-46,0.2071444525827953,0.6530612244897959,1.4784302266346805,0.5979981422424316,1.3627355098724365
158,20,True,ul,78,0.9912221910364045,1.5102781333201073e-68,0.8074572527577651,0.5384615384615384,0.8871201995900612,0.9433877468109131,1.568003535270691
159,20,True,all,264,0.967924719451909,3.387383884933125e-159,0.4846793618298654,1.8409090909090908,1.9121998495091486,1.884844183921814,1.8975412845611572
160,21,False,ol,1756,0.024412941818119094,0.3065728009248731,2.4004306724097075,0.958997722095672,1.7077219496738922,1.1442508697509766,1.7189420461654663
161,21,False,nl,1298,0.08164383073266189,0.0032449650943028137,1.6687646847429238,0.4745762711864407,1.2934768832772146,0.4165235161781311,1.1636569499969482
162,21,False,ul,1821,0.11865920916921142,3.813525050927264e-07,0.9309525846568492,0.2504118616144975,0.6619045420540313,0.1704029142856598,0.7330045104026794
163,21,False,all,4875,0.11906291311163772,7.387289648260804e-17,1.7722094038980505,0.5653333333333334,1.3246337729646758,0.5867191553115845,1.345354437828064
164,21,True,ol,198,0.9913339939492609,9.580384486938298e-175,0.32621013551424693,2.787878787878788,1.8382728349215878,2.5918684005737305,1.72396719455719
165,21,True,nl,90,0.9791422936642817,1.0718366853540758e-62,0.4578189117258485,1.3333333333333333,1.885618083164127,1.1557949781417847,1.6693599224090576
166,21,True,ul,112,0.9782751358083162,5.2243067810829306e-77,0.5310856848762859,0.5714285714285714,0.9035079029052514,0.8149126768112183,1.3171042203903198
167,21,True,all,400,0.9764208906381666,4.216919094633304e-267,0.4228576680033229,1.84,1.911648503255763,1.7712042331695557,1.8051527738571167
168,22,False,ol,1718,-0.050229124926634325,0.03736678359557838,2.4969647760988494,0.9615832363213038,1.7092953591790574,1.1121429204940796,1.7301409244537354
