,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
0,1,1,False,ol,2770,0.16427709288830966,3.2808406174124765e-18,1.300901420675318,0.9125631906065269,1.0289980428621295,0.5000000149011612,0.0,3.3333332538604736,0.2157461941242218,0.58919358253479,0.0,0.0,2.036303758621216
1,1,1,False,nl,380,0.03839830671393855,0.45546803045032436,0.392732618554425,0.053508772465743516,0.2480378540233393,0.0,0.0,1.600000023841858,0.056652382016181946,0.3141501843929291,0.0,0.0,1.9551960229873657
2,1,1,False,ul,0,,,,,,,,,,,,,
3,1,1,False,all,3150,0.17962918215682896,2.978238992196807e-24,1.2275158898101706,0.8089312290530356,1.0083709458366488,0.0,0.0,3.3333332538604736,0.19655391573905945,0.5655627846717834,0.0,0.0,2.036303758621216
4,1,1,True,ol,473,0.7849237151932941,5.646393351725146e-100,0.6836577679855752,0.9492600572317146,1.0970822420464108,0.4000000059604645,0.0,3.3333332538604736,1.0035834312438965,0.9099647402763367,1.708862543106079,0.0,2.036303758621216
5,1,1,True,nl,53,0.8643794428633698,7.57731839606082e-17,0.3083889318949932,0.025157233454146475,0.11885295157447531,0.0,0.0,0.8000000119209291,0.09714370965957642,0.396587610244751,0.0,0.0,1.7173919677734375
6,1,1,True,ul,0,,,,,,,,,,,,,
7,1,1,True,all,526,0.7969245363353505,8.575263804209036e-117,0.6556496143691531,0.8561470350640128,1.0775502496584533,0.03333333507180214,0.0,3.3333332538604736,0.9122501015663147,0.913726806640625,0.8333098292350769,0.0,2.036303758621216
8,1,2,False,ol,1004,0.10561662143032721,0.0008029567214572745,1.8113840986238716,1.827622867215321,0.9448437301498803,2.0,0.0,3.3333332538604736,0.46342235803604126,0.8327972888946533,0.0,0.0,2.136986255645752
9,1,2,False,nl,714,0.11918175050986005,0.0014206253450312033,1.029398173993402,0.7363212098803172,0.7279514280382214,0.8000000119209291,0.0,2.933333396911621,0.20313423871994019,0.5897356867790222,0.0,0.0,2.0977656841278076
10,1,2,False,ul,1432,0.1495947486298956,1.2851920565385535e-08,0.4761388976583197,0.12886406091047065,0.3872485058417928,0.0,0.0,2.0,0.06400483101606369,0.3334227204322815,0.0,0.0,1.9818470478057861
11,1,2,False,all,3150,0.28066976071825367,4.114801734660318e-58,1.1785760421966816,0.8080000119881025,1.0074856713152502,0.0,0.0,3.3333332538604736,0.22284726798534393,0.6167911887168884,0.0,0.0,2.136986255645752
12,1,2,True,ol,223,0.4467093290918971,2.4559117023231153e-12,0.7931802153463742,2.1461883725205877,0.8384471904389295,2.4000000953674316,0.0,3.3333332538604736,1.8892639875411987,0.35422250628471375,1.9663017988204956,0.0,2.136986255645752
13,1,2,True,nl,104,0.8317216143828063,8.091594058938653e-28,0.6099649011646155,0.7307692466733547,0.7848416127226192,0.5333333611488342,0.0,2.7333333492279053,1.039305329322815,0.9477182626724243,1.7187378406524658,0.0,2.0977656841278076
14,1,2,True,ul,273,0.892667517876738,8.741901080163073e-96,0.3356700046859674,0.0805860819779473,0.27075916500190944,0.0,0.0,1.399999976158142,0.17826560139656067,0.5387507677078247,0.0,0.0,1.9818470478057861
15,1,2,True,all,600,0.8532452139996517,3.199536801174977e-171,0.5912573006486329,0.9610000151768326,1.1337308750753516,0.03333333507180214,0.0,3.3333332538604736,0.9634335041046143,0.9666751027107239,0.8457120656967163,0.0,2.136986255645752
16,1,3,False,ol,1029,-0.09666572723724422,0.0019069786870553741,1.9754436543208493,1.7946226375776662,0.9131850541934025,1.8666666746139529,0.0,3.3333332538604736,0.1410423219203949,0.49647846817970276,0.0,0.0,2.01688551902771
17,1,3,False,nl,775,0.16168517733551493,6.078051831896315e-06,1.0318725972388552,0.6971182928354509,0.8017983559301491,0.4000000059604645,0.0,2.933333396911621,0.13758431375026703,0.4840516746044159,0.0,0.0,1.985653281211853
18,1,3,False,ul,1346,0.20737394368884973,1.533262974019234e-14,0.4436571849360793,0.1198613180060709,0.38280282470938426,0.0,0.0,1.9333332777023315,0.0545903816819191,0.3081519901752472,0.0,0.0,1.944405436515808
19,1,3,False,all,3150,0.08667087248998002,1.106818141041616e-06,1.2731253715736088,0.808973557159068,1.0082390346547558,0.0,0.0,3.3333332538604736,0.10325048118829727,0.42486584186553955,0.0,0.0,2.01688551902771
20,1,3,True,ol,70,0.35849704724400483,0.002308472088584048,0.8635318454437279,1.6504762166312763,0.9059545980125995,1.3333333730697632,0.0,3.3333332538604736,1.7764074802398682,0.4454394578933716,1.900343418121338,0.0,2.01688551902771
21,1,3,True,nl,78,0.7768500682302354,6.303588562052729e-17,0.6447560729053262,0.8658119711356286,0.8472172340228453,0.8666666746139526,0.0,2.933333396911621,1.14835524559021,0.88460773229599,1.7761480808258057,0.0,1.985653281211853
22,1,3,True,ul,130,0.8384315980828255,1.520787899569007e-35,0.42446389844421745,0.1800000002177862,0.45197760869504283,0.0,0.0,1.9333332777023315,0.3286791443824768,0.691018283367157,0.0,0.0,1.8787808418273926
23,1,3,True,all,278,0.7928732054013454,2.5788091525859984e-61,0.6234204968096048,0.7426858595002899,0.9291919876936103,0.03333333507180214,0.0,3.3333332538604736,0.9231961369514465,0.9249988794326782,0.8422109484672546,0.0,2.01688551902771
24,1,4,False,ol,1535,0.15320361853556352,1.608086647042008e-09,1.6638228306079395,1.4921172849761157,0.9981354939784117,1.3333333730697632,0.0,3.3333332538604736,0.23326469957828522,0.6119452118873596,0.0,0.0,2.0140838623046875
25,1,4,False,nl,1016,0.23756896961620477,1.6769777016610574e-14,0.5721324606625906,0.24304462482375422,0.49463633556360953,0.0,0.0,2.533333301544189,0.08462855964899063,0.38468706607818604,0.0,0.0,2.085099935531616
26,1,4,False,ul,599,0.16257937054653263,6.405329211255867e-05,0.2168452808771141,0.020033389591115943,0.1371709821480565,0.0,0.0,1.3333333730697632,0.020800819620490074,0.19172005355358124,0.0,0.0,2.0560731887817383
27,1,4,False,all,3150,0.240401015113977,1.1920807312632005e-42,1.209760486185546,0.8093121814680478,1.0084920232507422,0.0,0.0,3.3333332538604736,0.14492179453372955,0.49508464336395264,0.0,0.0,2.085099935531616
28,1,4,True,ol,228,0.681220622336042,1.9007783530141098e-32,0.7534072063624099,1.613157910213136,1.0250861076938313,1.4666666984558103,0.0,3.3333332538604736,1.5552409887313843,0.6650971174240112,1.8321359157562256,0.0,2.0140838623046875
29,1,4,True,nl,131,0.8911038218692942,4.270475876242095e-46,0.4252347312759306,0.27837150401741495,0.5482940434390853,0.0,0.0,2.533333301544189,0.4479455053806305,0.7888535261154175,0.0,0.0,2.0841715335845947
30,1,4,True,ul,97,0.9872998611748727,1.0370132806447923e-77,0.21445532291605124,0.01649484591385753,0.09380877168896215,0.0,0.0,0.6000000238418579,0.054147761315107346,0.30321475863456726,0.0,0.0,1.8161710500717163
31,1,4,True,all,456,0.8362873925153967,1.4507067876250883e-120,0.5878280463046066,0.8900584881765801,1.0699959954097575,0.06666667014360428,0.0,3.3333332538604736,0.9178248643875122,0.9191076755523682,0.8343721628189087,0.0,2.0841715335845947
32,1,5,False,ol,1006,0.020253114350815254,0.5211034556849484,1.8385669112556997,1.8145129481037972,0.9377094353061779,2.0,0.0,3.3333332538604736,0.43309763073921204,0.789109468460083,0.0,0.0,1.9428554773330688
33,1,5,False,nl,1076,-0.0018709802815583853,0.9511191482698732,1.0239882377355194,0.6288104195244694,0.7467236737420238,0.0,0.0,2.799999952316284,0.15437570214271545,0.5142280459403992,0.0,0.0,1.916548252105713
34,1,5,False,ul,1068,0.1605260118271643,1.333885596063989e-07,0.2660559451149292,0.04413233561378516,0.2021624358475318,0.0,0.0,1.7333333492279053,0.023882893845438957,0.20726428925991058,0.0,0.0,1.901851773262024
35,1,5,False,all,3150,0.22382532193115004,4.645148262182834e-37,1.2090205022957186,0.8092486894083402,1.0087017443491355,0.0,0.0,3.3333332538604736,0.19914647936820984,0.5764867067337036,0.0,0.0,1.9428554773330688
