time,syllablesPerSecond,meanVoiceActivity,stDevVoiceActivity,meanPitch,stDevPitch,meanIntensity,stDevIntensity
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.8333333333333334,0.141,0.3480215510568275,182.56666666666666,189.58492966360896,526.7316315192744,2776.7327963394832
31.0,1.0333333333333334,0.158,0.3647410040014695,191.8,193.02701019978178,545.3818760393046,2780.2898287272096
32.0,1.1666666666666667,0.16066666666666668,0.3672232139842045,195.26666666666668,192.6398943336735,547.4690056689342,2779.987458983729
33.0,1.1333333333333333,0.16033333333333333,0.3669149159622099,195.26666666666668,192.6398943336735,547.5222226001512,2779.9773349611833
34.0,1.3,0.165,0.3711805490593493,198.8,192.19857786501265,550.4626315192744,2779.7130076074372
35.0,1.2666666666666666,0.15533333333333332,0.36222215405589,185.03333333333333,174.03648723439832,533.6918424036281,2773.1276354057527
36.0,1.1666666666666667,0.152,0.35902089075707,181.4,174.2183687215559,532.0099251700681,2773.3767557546694
37.0,1.1333333333333333,0.152,0.35902089075707,181.4,174.21836872155586,532.2208378684808,2773.3383995235818
38.0,1.1666666666666667,0.15233333333333332,0.3593436918729601,181.4,174.21836872155586,532.8064372637944,2773.246074340718
39.0,1.1666666666666667,0.152,0.35902089075707,181.4,174.21836872155586,532.8189863945578,2773.2436652470183
40.0,1.1666666666666667,0.153,0.3599874997829786,181.4,174.21836872155586,533.4709599395313,2773.1593585328
41.0,1.3,0.185,0.3882975663070785,186.33333333333334,174.50507792675324,552.6234527588813,2773.5494497543364
