participant, condition, time, judgement
p23, nl, 625.61, 
p23, ol, 215.19, 
p23, ol, 225.38, 
p23, ol, 317.86, 
p23, ol, 498.81, 
p23, ol, 575.29, 
p23, ol, 579.73, 
p23, ol, 733.9, 
p23, ol, 791.66, 
p23, ol, 807.29, 
p23, ol, 830.7, 
p23, ol, 870.99, 
p23, ol, 929.63, 
p23, ul, 935.86, 
p24, nl, 32.95, 
p24, nl, 108.4, 
p24, ol, 13.07, 
p24, ol, 107.71, 
p24, ol, 305.71, 
p24, ol, 591.95, 
p24, ol, 592.32, 
p24, ol, 602.96, 
p24, ol, 607.37, 
p24, ol, 757.99, 
p24, ol, 894.64, 
p25, nl, 1.75, 
p25, nl, 1.78, 
p25, nl, 14.63, 
p25, nl, 41.67, 
p25, nl, 47.78, 
p25, nl, 47.84, 
p25, nl, 64.15, 
p25, nl, 75.74, 
p25, nl, 101.49, 
p25, nl, 128.87, 
p25, nl, 129.04, 
p25, nl, 237.41, 
p25, nl, 267.34, 
p25, nl, 310.07, 
p25, nl, 311.43, 
p25, nl, 338.5, 
p25, nl, 400.36, 
p25, nl, 401.67, 
p25, nl, 415.95, 
p25, nl, 557.08, 
p25, nl, 557.61, 
p25, nl, 585.82, 
p25, nl, 630.24, 
p25, nl, 682.87, 
p25, nl, 704.26, 
p25, nl, 704.69, 
p25, nl, 704.92, 
p25, nl, 705.05, 
p25, nl, 705.8, 
p25, nl, 734.04, 
p25, nl, 804.5, 
p25, nl, 805.13, 
p25, nl, 815.64, 
p25, nl, 856.53, 
p25, nl, 856.99, 
p25, nl, 877.8, 
p25, nl, 893.52, 
p25, nl, 903.04, 
p25, nl, 930.8, 
p25, nl, 933.49, 
p25, nl, 939.1, 
p25, nl, 939.23, 
p25, nl, 947.3, 
p25, nl, 984.46, 
p25, ol, 41.67, 
p25, ol, 47.77, 
p25, ol, 47.84, 
p25, ol, 48.07, 
p25, ol, 75.74, 
p25, ol, 101.5, 
p25, ol, 237.41, 
p25, ol, 267.34, 
p25, ol, 307.12, 
p25, ol, 310.07, 
p25, ol, 333.93, 
p25, ol, 338.5, 
p25, ol, 400.36, 
p25, ol, 401.67, 
p25, ol, 415.95, 
p25, ol, 557.08, 
p25, ol, 585.82, 
p25, ol, 628.97, 
p25, ol, 630.24, 
p25, ol, 642.31, 
p25, ol, 642.34, 
p25, ol, 642.61, 
p25, ol, 704.26, 
p25, ol, 704.69, 
p25, ol, 704.96, 
p25, ol, 704.99, 
p25, ol, 705.8, 
p25, ol, 734.04, 
p25, ol, 804.5, 
p25, ol, 805.13, 
p25, ol, 815.64, 
p25, ol, 856.53, 
p25, ol, 856.99, 
p25, ol, 877.09, 
p25, ol, 877.8, 
p25, ol, 893.52, 
p25, ol, 903.04, 
p25, ol, 930.8, 
p25, ol, 939.08, 
p25, ol, 939.23, 
p25, ol, 947.3, 
p25, ol, 954.25, 
p25, ol, 984.46, 
p25, ul, 8.24, 
p25, ul, 17.76, 
p25, ul, 18.03, 
p25, ul, 18.48, 
p25, ul, 18.66, 
p25, ul, 18.72, 
p25, ul, 462.85, 
p26, nl, 13.5, 
p26, nl, 21.48, 
p26, nl, 62.73, 
p26, nl, 97.01, 
p26, nl, 99.0, 
p26, nl, 295.47, 
p26, nl, 306.1, 
p26, nl, 329.21, 
p26, ol, 33.35, 
p26, ol, 52.73, 
p26, ol, 53.13, 
p26, ol, 79.84, 
p26, ol, 193.4, 
p26, ol, 193.49, 
p26, ol, 212.99, 
p26, ol, 260.26, 
p26, ol, 303.22, 
p26, ol, 763.57, 
p26, ol, 763.63, 
p26, ol, 989.61, 
p26, ul, 75.35, 
p26, ul, 97.76, 
p26, ul, 99.7, 
p26, ul, 138.5, 
p26, ul, 193.41, 
p26, ul, 193.52, 
p26, ul, 193.76, 
p26, ul, 224.68, 
p26, ul, 265.7, 
p26, ul, 274.28, 
p26, ul, 315.03, 
p26, ul, 324.19, 
p26, ul, 337.5, 
p26, ul, 370.67, 
p26, ul, 393.02, 
p26, ul, 405.82, 
p26, ul, 439.72, 
p26, ul, 442.3, 
p26, ul, 495.08, 
p26, ul, 499.63, 
p26, ul, 559.39, 
p26, ul, 590.72, 
p26, ul, 590.82, 
p26, ul, 601.42, 
p26, ul, 618.78, 
p26, ul, 650.46, 
p26, ul, 667.25, 
p26, ul, 707.42, 
p26, ul, 793.36, 
p26, ul, 795.91, 
p26, ul, 885.65, 
p26, ul, 885.7, 
p26, ul, 924.82, 
p26, ul, 924.85, 
p26, ul, 924.89, 
p26, ul, 971.89, 
p27, nl, 99.84, 
p27, nl, 121.83, 
p27, nl, 291.47, 
p27, nl, 298.6, 
p27, nl, 301.87, 
p27, nl, 301.98, 
p27, nl, 595.44, 
p27, nl, 598.68, 
p27, nl, 820.27, 
p27, nl, 820.33, 
p27, nl, 875.7, 
